127.0.0.1 - - [15/Jun/2024:07:21:25 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [15/Jun/2024:07:21:39 +0700] "GET /RestaurantDemoWeb/RestaurantOrder HTTP/1.1" 200 15773
0:0:0:0:0:0:0:1 - - [15/Jun/2024:07:21:40 +0700] "GET /favicon.ico HTTP/1.1" 404 685
0:0:0:0:0:0:0:1 - - [15/Jun/2024:07:34:32 +0700] "GET /RestaurantDemoWeb/RestaurantOrder HTTP/1.1" 200 20612
0:0:0:0:0:0:0:1 - - [15/Jun/2024:07:34:45 +0700] "GET /RestaurantDemoWeb/Login HTTP/1.1" 200 2256
0:0:0:0:0:0:0:1 - - [15/Jun/2024:07:34:47 +0700] "GET /RestaurantDemoWeb/Register HTTP/1.1" 200 2329
0:0:0:0:0:0:0:1 - - [15/Jun/2024:07:34:47 +0700] "GET /RestaurantDemoWeb/RestaurantOrder HTTP/1.1" 200 20612
0:0:0:0:0:0:0:1 - - [15/Jun/2024:07:34:49 +0700] "GET /RestaurantDemoWeb/Register HTTP/1.1" 200 2329
0:0:0:0:0:0:0:1 - - [15/Jun/2024:07:34:52 +0700] "GET /RestaurantDemoWeb/Login HTTP/1.1" 200 2256
0:0:0:0:0:0:0:1 - - [15/Jun/2024:07:34:57 +0700] "POST /RestaurantDemoWeb/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:07:34:57 +0700] "GET /RestaurantDemoWeb/RestaurantOrder HTTP/1.1" 200 20654
0:0:0:0:0:0:0:1 - - [15/Jun/2024:07:35:02 +0700] "POST /RestaurantDemoWeb/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:07:35:02 +0700] "GET /RestaurantDemoWeb/RestaurantOrder HTTP/1.1" 200 20612
0:0:0:0:0:0:0:1 - - [15/Jun/2024:07:35:03 +0700] "GET /RestaurantDemoWeb/Register HTTP/1.1" 200 2329
0:0:0:0:0:0:0:1 - - [15/Jun/2024:07:35:16 +0700] "POST /RestaurantDemoWeb/Register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:07:35:16 +0700] "GET /RestaurantDemoWeb/RestaurantOrder HTTP/1.1" 200 20657
0:0:0:0:0:0:0:1 - - [15/Jun/2024:07:36:11 +0700] "POST /RestaurantDemoWeb/RestaurantOrder HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:07:36:21 +0700] "GET /RestaurantDemoWeb/RestaurantOrder HTTP/1.1" 200 20657
0:0:0:0:0:0:0:1 - - [15/Jun/2024:07:38:47 +0700] "POST /RestaurantDemoWeb/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:07:38:47 +0700] "GET /RestaurantDemoWeb/RestaurantOrder HTTP/1.1" 200 20612
